RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
15020,Standort,Rudolfplatz,40019131,normal,Köln,Deutschland,6.940416419300000,50.936740996000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15249,Standort,Eigelstein/Ebertplatz,40021009,normal,Köln,Deutschland,6.958777403000000,50.950087302400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15337,Standort,Bahnhof-Haupt- Domseite,40021663,normal,Köln,Deutschland,6.957565565100000,50.941764759600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15389,Standort,Bahnhof Deutz,40022164,normal,Köln,Deutschland,6.973078250885010,50.940190268636925,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15413,Standort,Heumarkt,40022421,normal,Köln,Deutschland,6.960344825000000,50.936340739900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15490,Standort,Bahnhof West,40022991,normal,Köln,Deutschland,6.933136550800000,50.943442902200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15640,Standort,Rudolfplatz,40024497,normal,Köln,Deutschland,6.940762718000000,50.936157051300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15800,Standort,Bahnhof Deutz,40029489,normal,Köln,Deutschland,6.974530000000000,50.940330000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15812,Standort,Bahnhof Süd,40029637,normal,Köln,Deutschland,6.938814998800000,50.926435570300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15814,Standort,Mediapark,40029657,normal,Köln,Deutschland,6.945105008800000,50.947131194700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15816,Standort,Eigelstein/Ebertplatz,40029678,normal,Köln,Deutschland,6.956884699500000,50.949074010600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15817,Standort,Bahnhof West,40029697,normal,Köln,Deutschland,6.933136550800000,50.943442902200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15845,Standort,Messe,40030018,normal,Köln,Deutschland,,,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15846,Standort,Messe,40030025,normal,Köln,Deutschland,,,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15847,Standort,Carl-Theodor-Reiffenstein-Platz / Hasengasse,6031300002,normal,Frankfurt am Main,Deutschland,8.683521797200000,50.114191090500000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15863,Standort,The Coffee Store,40030276,normal,Köln,Deutschland,6.952250420600000,50.939732973000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15878,Standort,Münchner Freiheit,88009826,normal,München,Deutschland,11.586111110000000,48.161944440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
15888,Standort,DB-AG-Zentrale_MUC,88009969,normal,München,Deutschland,11.533174000000000,48.145271000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
16118,Standort,Stiglmaierplatz,88000545,normal,München,Deutschland,11.559166670000000,48.147500000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
16129,Standort,Stachus,88000681,normal,München,Deutschland,11.565277780000000,48.139722220000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
16175,Standort,Tal (Sparkassenstr),88001087,normal,München,Deutschland,11.578333330000000,48.136111110000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
16205,Standort,Rosenheimer Platz,88001484,normal,München,Deutschland,11.593888890000000,48.128611110000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
16209,Standort,Rosenheimer Platz,88001517,normal,München,Deutschland,11.595000000000000,48.127777780000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
17325,Standort,Mediapark,40037398,normal,Köln,Deutschland,6.945105008800000,50.947131194700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
17326,Standort,Mediapark,40037399,normal,Köln,Deutschland,6.945105008800000,50.947131194700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
